Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,8690,ESCUELA PARTICULAR AMOR DE DIOS,Cerrillos,4 básico,Región Metropolitana de Santiago,0.881132075471698,Urbano,602,Part. subvencionado,Medio bajo,74.0,74.0,77.0,71.0,248.0,47.5,27.1,25.4,233.0,61,27.1,11.9,70,77,77,78,71,77,65,68,79,75,77
2023,848,ESCUELA ALEJANDRO CHELEN ROJAS,MONTE PATRIA,4 básico,Región de Coquimbo,0.91358024691358,Urbano,346,Municipal,Bajo,82.0,81.0,86.0,74.0,273.0,20,42.9,37.1,283.0,16.7,50,33.3,79,85,86,85,76,75,72,75,88,81,88
2023,6039,ESCUELA PARTICULAR CATRIPULLI,Curarrehue,4 básico,Región de La Araucanía,0.896969696969697,Rural,208,Part. subvencionado,Medio bajo,90.0,88.0,91.0,79.0,264.0,35.7,42.9,21.4,268.0,30.8,46.2,23.1,88,92,93,92,79,86,74,82,95,87,90
2023,7961,ESCUELA RURAL LOS PELLINES,Llanquihue,4 básico,Región de Los Lagos,0.816,Rural,154,Servicio local de educación,Medio,83.0,82.0,86.0,70.0,305.0,20,10,70,281.0,30,20,50,81,85,89,85,70,78,63,78,91,77,84
2023,14865,COLEGIO TECNICO ALIANZA EDUCACIONAL,Limache,4 básico,Región de Valparaíso,0.978723404255319,Urbano,284,Part. subvencionado,Medio bajo,73.0,73.0,67.0,59.0,253.0,35.7,28.6,35.7,248.0,57.1,35.7,7.1,71,75,68,62,60,61,56,65,80,74,69
2023,14865,COLEGIO TECNICO ALIANZA EDUCACIONAL,Limache,II medio,Región de Valparaíso,0.958762886597938,Urbano,284,Part. subvencionado,Bajo,68.0,78.0,79.0,73.0,236.0,52.6,31.6,15.8,201.0,82.4,17.6,0,66,69,75,77,73,82,65,71,85,78,85
2023,9539,ESC. BAS. N°221 SANTA CATALINA DE SAN MIGUEL,San Miguel,4 básico,Región Metropolitana de Santiago,0.791666666666667,Urbano,204,Part. subvencionado,Medio,77.0,76.0,82.0,70.0,249.0,36,44,20,243.0,48,44,8,74,80,79,78,69,77,65,68,85,76,89
2023,9046,COLEGIO THE GRANGE SCHOOL,La Reina,4 básico,,,,2119,Particular pagado,Alto,73.0,77.0,75.0,61.0,309.0,6.9,21.5,71.5,311.0,3.5,23.2,73.2,73,73,76,78,59,64,60,72,80,80,72
2023,9046,COLEGIO THE GRANGE SCHOOL,La Reina,II medio,,,,2119,Particular pagado,Alto,77.0,82.0,84.0,75.0,285.0,19.5,30.1,50.4,349.0,5.8,17.4,76.9,78,76,88,83,73,82,72,75,87,83,81
2023,14671,COLEGIO TIERRA DEL FUEGO,Quillota,4 básico,Región de Valparaíso,0.835978835978836,Urbano,958,Part. subvencionado,Medio,78.0,77.0,80.0,72.0,270.0,38.3,18.3,43.3,250.0,42.6,44.3,13.1,76,80,79,80,74,75,66,71,83,77,80
